code;descr;other
1;EMPLOYMENT;" Note : According to ILO actual hours worked should include44: 
 1. Productive time (hours actually worked during normal periods of work and time 
worked in addition to hours worked during normal periods of work, and generally paid at 
higher rates than normal rates (overtime);  
 2. Time spent on ancillary activities (time spent at the place of work on work such as the 
preparation of the workplace, repairs and maintenance, preparation and cleaning of tools 
and the preparation of rec eipts, time sheets and reports);  
 3. Unproductive time spent in the course of the production process (time spent at the 
place of work waiting or standing -by for such reasons as lack of supply of work, 
breakdown of machinery or accidents, or time spent at the place of work during which no 
work is done but for which payment is made under a g uaranteed employment contract);  
 4. Resting time (time corresponding to short rest periods at the workplace, including tea 
and coffee breaks).  
 Note : The definition explicitly excludes time not worked, even if paid, such as paid 
annual leave, paid public holidays, paid sick leave, meal breaks and time spent on travel 
from home to work and vice versa.  
 Note : Working time applies to work done in paid jobs and in a family business or 
property, also as ""unpaid family member"". It also applies to work done by people who do 
not regard themselve s as employed, e.g. children and elderly people . "
1.1;MAIN JOB AND SECOND JOB;
1.1.1;Working time in main and second job (including short breaks and travel at;"work)  
 Definition : Time spent on main and second job, including: working overtime, work 
brought ho me, paid practical training, training during work and travelling due to work, 
during or outside working hours. Short breaks during working hours due to personal 
reasons, e.g. need for rest, smoking, personal phone call, using Internet for personal 
reasons.  Travel due to work in main job, during or outside regular working hours. Work 
                                                                 
 
 
 
 
 
 
  
trips to seminars etc. Driver’s (taxi, pizza delivery, etc.) job while moving. Unspecified 
main and second job is also included in this category.   
 Note : Trips to/ from work are included in code "" 910 Travel to/ from work "". 
 Note : Unpaid practical training in connection with studies and school -based part of an 
apprenticeship is included in  code "" 213 Internship "". The latter is typically offered to 
students and graduates looking to gain relevant skills and experience in a particular field. 
These kinds of trainings or education should be coded under category 2013.  
 Note : Voluntary w ork for an organisation is included in code "" 4 VOLUNTARY WORK 
AND MEETINGS "" / ""411 Organisational work (for or through an organisation) "". It 
includes working as a volunteer free of charge or for a minor fee . 
 Note : If a computer, smart device, internet, online tool, etc. for doing the main or second 
job is used  should be indicated via the ICT use column in the diary.  
 Examples : Working as bus driver / Selling at a flea -market stall / Corrected written tests 
(teacher) / Preparations for work / Planning tomorrow’s lessons (teacher) / Business 
meeting during lunch break / Meeting with a business partner after working hours / 
Taking and giving back work material, tools, etc. / Inevitable break, e.g. because of 
shortage of material, power -supply failure / Breaks in work because of prayer / Phone -
call at home concernin g work / Student’s work or contractual work, when paid / Had a  
rest and read newspapers at work / Phoned my child from the office / Used computer at 
work to pay personal bills / Accident at work . "
1.2;ACTIVITIES RELATED TO EMPLOYMENT;" Definition : Activitie s connected with own employment but not the actual work, which is 
included in 11 Main and second job.  Also not included in code "" 12 ACTIVITIES 
RELATED TO EMPLOYMENT "" is the travelling to and from work; this is cod e ""910 
Travel to/ from work "". "
1.2.1;Lunch break in main and second jobs;" Definition : Lunch break (at work), to be coded in the main activity column only if no other 
activity (e.g. eating, shopping) is specified.  
 Note : People can do different things during their lunch breaks. The respondent is ask ed 
to report on her/ his activities during the lunch break (e.g. eating lunch, shopping, etc.). 
Each such activity is given the appropriate code in the ""Main activity"" column, and we 
use the contextual code ""121 Lunch break in main and second jobs"" in the ""Secondary 
activity"" column to indicate that the activity was performed during the lunch break.  
 Note : It is of interest to preserve information for easy calculation of the gross length of 
the working day. As lunch breaks may be included in the gross worki ng day, the 
calculation will be facilitated if they are marked as such.  
 Note : If the diary does not specify what the respondent did during the lunch break, then 
the code ""121 Lunch break in main and second jobs"" should be used in the main activity 
column too. 
 Example : In this example you can see how to use code 121.  
   
 "
1.2.9;Other or unspecified activities related to employment;" Definition : Activities connected with own employment, except work itself. Activities not 
paid for, e.g. time spent at the place of work before starting or after ending work. 
Activities connected with job seeking, e.g. calling at or visiting a labour office or agency , 
looking at online job searching sites, reading and replying  to job advertisements, going to 

 
 
 
 
  
see the new employer. Unspecified activities related to employment.  
 Note : Work brought home is included in code "" 111 Working time  in main and second job 
(includi ng short breaks and travel at work)"" . 
 Note : Packing a bag at home for work next day or putting out clothes is included in code 
""324 Arranging household goods and materials "". 
 Note : Travelling to and from work is coded as ""910 Travel to/ from work "". 
 Examples : Changed clothes before/ after work at the place of work / Reading job  
announcements / Visiting a future workplace.  
 "
2;STUDY;
2.1;SCHOOL OR UNIVERSITY;" Definition : Studies at primary, secondary and tertiary education institutions as part of the 
formal education system, including general and vocational training.  "
2.1.1;Classes and lectures;" Definition : Besides classes and lectures, includes laboratory work, retraining courses, 
and short breaks at school/  university. Other unspecified activities related to school or 
university  are to be coded as ""219 Other / unspecified  activities related to study"" . 
Moreover, it includes remote/ distant education and online education which is within the 
formal education, and it includes vocation training.  
 Note : Does not include lunch breaks (see code 214) and longer free periods, which 
should be coded according to actual activity.  
 Examples : At school etc. with no activity mentioned / At the cinema, theatre with school 
(during school hours) / Exams / School sports day / Appointment at school / Called my 
teacher / Visited the studies supervisor . "
2.1.2;Homework;" Definition : Homework, study in library , reading for exam.  
 Note : Preparing for school, e.g. arranging the school bag, is included in code "" 324 
Arranging household goods and materials "". 
 Examples : Preparing for a test / Studying together with a fellow pupil / Reading for an 
exam / Was tested on the homework / Gathering plants for school . "
2.1.3;Internship;" Definition : An internship is a period of work experi ence offered by an organization for a 
limited period of time. Once confined to medical graduates, the term is now used for a 
wide range of placements within businesses, non -profit organizations and government 
agencies. Internships  are typically undertaken by students and graduates looking to gain 
relevant skills and experience in a particular field45. 
 Examples : Paid internships  (in fields like medicine, architecture, science, engineering, 
law, accounting and finance) ; work research  (student does research for a particular 
company); unpaid internships (non -profit charities and think tanks offering unpaid or 
volunteer positions ); partially -paid internships ( students paid in the form of a stipend).  "
2.1.4;Breaks at school/ university;" Definition : Breaks are a period of time in which a group of people (here: pupils, students, 
etc.) are temporarily dismissed from their duties (here: lessons). Breaks are a common 
part of the school/ university day for children/ students around the world.  
 Examples : break for a snack; lunch break; leaving school interior to go to adjacent 
                                                                 
 
 
 
 
 
 
  
outdoor playground; visit the restroom; etc.  "
2.1.5;Extra curricul ar classes;" Definition : Extracurricular  (also: extra academic) activities are those that fall outside the 
realm of the normal curriculum of school or university education, performed by students. 
Extracurricular activities exist for all students. Such activities are generally voluntary (as 
opposed to mandatory), social, philanthropic, and often involve others of the same age. 
Students and staff direct these activities under faculty sponsorship, although student -led 
initiatives, such as independent newspapers, are very common46. 
 Examples : Sports and fitness ; academic or faculty -specific activities (e.g. Math and 
Science); s ocial activities and other fun events ; charity and money -raising . "
2.1.9;Other / unspecified  activities related to study;" Note : Includes school -related activities, e.g. waiting in the schoolyard for school to start, 
when other activities are not m entioned.  
 Examples : Waiting in the schoolyard for a ride home . "
2.2;FREE TIME STUDY;
2.2.1;Free time study;" Definition : Additional studies during free time including online/ remote free time studies.  
 Note : Includes language courses on TV, video, DVD, radio, using electronic, smart 
devices and the internet.  
 Note : Does not include studies during working hours, which are included in code ""111 
Working time in main/  second job  (including short breaks and travel at work)"".  
 Examples : Administrative courses (typing, accounting) / Correspondence studies / 
Driving lesson / Language courses / Online language courses / Artistic courses /  
Preparing for courses: homework related to these courses / Professional training 
courses, not in direct connection with work / Sewing class / Talked with the supervisor  / 
Exercising for piano lesson / Music lessons.  
 "
3;HOUSEHOLD AND FAMILY CARE;" Note : Includes unpaid  work done for the respondent’s own household, which at the same 
time may be done for another household. If the unpaid  activity was done for another 
household only, then choose the appropriate code under ""42 INFORMAL HELP TO 
OTHER HOUSEHOLDS "".  
 Codes have been defined so that activities regarded as SNA activities are distinguished 
from those outside the SNA product ion boundary. All paid activities or activities 
connected with employment are included in code "" 1 EMPLOYMENT "", e.g. purchasing or 
repairing for the family firm. If help is provided to a family member in a family firm then 
this activity is coded as ""111 Wor king time  in main/ second job (including short breaks 
and travel at work)"".  "
3.0;UNSPECIFIED HOUSEHOLD AND FAMILY CARE;
3.0.0;Unspecified household and family care;" Examples : Doing housework / Working outdoors.  
  
                                                                 
 
 
 
 
 
 
  "
3.1;FOOD MANAGEMENT;
3.1.1;Food preparation  and baking;" Definition : All activities in connection with food preparation  and baking. Also includes 
setting the table.  
 Examples : Set the table / Brewed coffee / Cleaning fish / Cooking / Heated up some food 
/ Made meals, snacks, drinks for own children / Preparation of coffee, snacks, aperitifs, 
meals, etc. / Serving food to other people / Prepared a lunch box / Turned on the oven / 
Making a pie, pastry, tart, sweets, etc. / Cleaned mushrooms . "
3.1.2;Dish washing;" Definition : Also includes activities before and after washing up, e.g. drying up, tidying 
away dishes, etc.  
 Examples : Cleared the food back to the fridge / Cleared the table after breakfast/ lunch/ 
snacks/ dinner/ supper/ coffee / Loaded/ unloaded the dishwasher.  "
3.1.3;Storing, arranging, preserving food stocks;" Definition : All activities in connection with preserving, freezing and canning  (e.g. cleaning 
berries, boiling jam or fruit -syrup; preparing food for use later) . 
 Examples : Churn milk to make cheese, etc. / Killing a pig/ chicken for later use, when it 
is not part of one’s job on a farm / Prepared food to put in the freezer / Preparing/bottling 
of home -made wine, brandy, beer, etc. / Sorting out potatoes for preserving / Storing 
fruits in the basement.  "
3.2;HOUSEHOLD UPKEEP;
3.2.1;Cleaning dwelling;" Definition : Vacuuming, washing/  waxing floors, washing windows, making beds, tidying, 
arranging the home, etc.  
 Examples : Airing of bedclothes / Beating rugs / Collected the children’s toys / Putting 
away the cleaning kits / Tidied up w ardrobes.  "
3.2.2;Cleaning garden;" Definition : Cleaning garden or pavement, clearing away snow, also composting waste, 
etc. 
 Examples : Cleaned around garden pool area / Cleaned patio furniture / High -pressure 
hosed the roof or the walls of the house / Raking  together dead leaves / Swept the 
entrance.  "
3.2.3;Heating dwelling and water;" Definition : Supply of heating dwelling and water. Wood  cutting and collecting firewood.  
 Note : Repairs of appliances are included in code "" 353 Making, repairing and maintaining  
equipment "". 
 Examples : Bringing water for laundry / Carrying water / Checked the boiler / Heating up 
of sauna / Lit the boiler / Preparing the heating material / Warming water for bath / Went 
down into the cellar and put firewood in the boiler  "
3.2.4;Arranging household goods and materials;" Definition : Various kinds of arrangements of tasks at home, in a weekend home, in a 
hotel etc. Call for goods and putting in order. Relates to own goods or goods belonging 
to household members.  
 Examples : Arranging clothes for the morning / Arranging purchases / Carrying out 
garden furniture / Checking of mousetraps / Collecting mail from the letter box / Hanging 
up curtains / Loading and unloading the shopping to/from the car / Looking for lost items 
/ Moving to a n ew place to live / Packing and checking children’s school bags / Packing/ 
unpacking for a trip / Packing/unpacking for a removal / Packing for school or work / 
Packing/unpacking hobby equipment / Preparation of clothes for the next day / Preparing 
 
 
 
 
  
the satc hel / Put up a tent / Putting food products into refrigerator / Putting up posters / 
Tending indoor flowers / Watered indoor flowers / Wrapped up gifts  "
3.2.5;Recycling and disposal of waste;" Definition : Recycling is the process of converting waste materials into new materials and 
objects. Here, it means the activity of the individual/ household collecting potentially 
useful materials (glass, paper, plastic, aluminium, etc.) and bringing it to/ disposing it at 
the recycling station.  
 Examples : Took o ut rubbish, waste / Brought old glass to recycling station / Separated 
papers, bottles, tins, etc.  "
3.2.9;Other or unspecified household upkeep;" Definition : Activities of short duration that do not fit into the previous categories. 
Unspecified household upk eep. 
 Examples : Closed curtains and blinds / Closed/opened doors or windows / Locked the 
door / Cleaning, with no distinction as to house, cellar, garage or garden.  "
3.3;CARE FOR TEXTILES;
3.3.1;Laundry;" Definition : Hand wash, loading and unloading washing machine, hanging out, putting 
away (when not ironed or mangled), etc.  
 Examples : Emptied the drying cupboard / Folding sheets and putting them into the 
cupboard / Hand -washing, soaking, rinsing / Sorting of laundry . "
3.3.2;Ironing;" Definition : Ironing and mangling. Tasks connected with ironing and mangling. Folding 
and putting things into the wardrobe (after ironing or mangling).  
 Examples : Put laundry in drawer / Sorting/folding clothes . "
3.3.9;Other or unspecified textile care;" Definition : Repairing clothe s / Repairing and polishing shoes / Putting seasonal clothes 
into storage / Unspecified making and care for textiles.  
 Examples : Alteration of clothes / Changed a zip / Cleaned wellingtons . "
3.4;GARDENING AND PET CARE;" Definition : Gardening and animal tend ing activities which are not done in connection with 
farming.  "
3.4.1;Gardening;" Definition : Kitchen gardening — tending vegetables, potatoes, tomatoes, etc. Also 
harvesting. Tending outdoor flowers, mowing the lawn, etc.  
 Note : Tending indoor flowers is included in code "" 324 Arranging household goods and 
materials "". 
 Note : Raking together dead leaves is included in code "" 322 Cleaning garden "". 
 Examples : Collecting rose hips / Forestry for private use (not for firewood) / Planti ng 
vegetables / Ploughing / Weeding / Tending apple trees / Trimming of hedge / Watering 
the garden / Working in the garden . "
3.4.2;Tending domestic animals;" Definition : Keeping domestic animals when products are intended only for own use.  
 Note : Riding is included in code ""619 Other or unspecified sports or outdoor activities "". 
 Examples : Bee -keeping / Feeding domestic animals / Grooming of own riding horse / 
Tending hens, rabbits, sheep, etc.  
  
 
 
 
 
  "
3.4.3;Caring for pets;" Definition : Feeding and washing pets, taking care of aquarium/terrarium, etc.  
 Examples : Chased the cat back home / Groomed the dog / Training of a dog / Was at a 
vet, dog school or in a dog show with own pet.  "
3.4.4;Walking the dog;" Definition : Walking the dog regardless of the time spent. Als o includes outdoor activities 
with the cat or other pets.  
 Examples : In the forest with the dog.  "
3.4.9;Other or unspecified gardening and pet care;" Definition : Activities of short duration that do not fit into the previous categories. 
Unspecified gardening  and pet care.  "
3.5;CONSTRUCTION AND REPAIRS;
3.5.1;House construction and renovation;" Definition : Major changes to the house, including construction of a new building or major 
extension and/ or alteration, e.g. restoration of a bathroom. Includes construc tion and 
renovation of home, garage, outhouse, etc. Includes only activities inside the SNA 
production boundary.  
 Note : Activities concerning farm buildings are included in code ""111 Working time  in 
main/ second job (including short breaks and travel at wo rk)"". 
 Examples : Adding insulation to walls / Garage construction work / Installing electricity / 
Lagging of a bored well / Put up drain -pipes / Restoration of a kitchen.  "
3.5.2;Repairs to dwelling;" Definition : Minor changes to the house, not belonging to SNA. Various repairs to the 
home, garage, outhouse etc. Includes re -plastering walls, repairing roofs, painting, 
papering walls, carpeting, interior decoration, repairs of fittings etc.  
 Examples : Installation  of light fittings / Mounted window -frames / Opened a blocked -up 
sink / Panelling a ceiling / Tearing down wardrobes (before repairs) / Tiled above the 
stove.  "
3.5.3;Making, repairing and maintaining equipment;" Definition : Making and repairing furniture and  household goods, furnishing, production of 
pottery, utensils and durables, etc. Repairing and maintaining tools. Assembling furniture 
and equipment. Woodcraft.  
 Note : Repairing farming equipment is included in code ""111 Working time in main/ 
second job (i ncluding short breaks and travel at work)"".  
 Examples : Changed electric bulbs / Changed the clocks to winter time / Changing a 
lamp / Cleaned and oiled sewing machine parts / Cleaned the kitchen fan / Loading 
batteries of mobile phone / Repairing a lamp / Repairing children’s toys / Replacement of  
batteries / Sharpened kitchen knives / Tended garden tools.  "
3.5.4;Vehicle maintenance;" Definition : All maintenance of vehicles and appliances of a household: cars, cycles, 
boats, etc. done by oneself.  
 Note : Car inspection is included in code ""362 Commercial and administrative services "". 
 Examples : Changed tyres on the car / Docking of boat for the winter / Drove the car into 
the garage / Getting  to know my (new) car / Put my bike in the outhouse / Renovation of 
vintage cars / Repaired the motorcycle / Tended the car / Washing, cleaning and waxing 
car by oneself in service station.  
  
 
 
 
 
  "
3.5.9;Other or unspecified construction and repairs;" Definition : Construction and repair activities of rather short duration mostly that do not fit 
into the previous categories. Unspecified construction and repairs.  "
3.6;SHOPPING AND SERVICES;" Definition : Errands presuming visits to offices, institutions, etc.  
 Note : Arranging or supervising outside services at home (e.g. phone calls to institutions) 
is included in code ""371 Household management "". "
3.6.1;Shopping ( including online/ e -shopping);" Definition : Shopping for consumer goods, such as drinks, newspapers, magazines, 
cigarettes, sweets, etc. Including also semi -durable consumer goods. Buying clothes, 
shoes, books, etc. Purchasing for maintenance and repair. Also looking at things in 
shops, flea marke ts, etc. Purchasing capital goods, such as a home, a car, furniture, and 
household appliances.  Includes all forms of electronic commerce which allows 
consumers to directly buy goods or services from a seller over the Internet using a web 
browser.  
 Note : Shopping for farming goods is included in code ""111 Working time in main/ second 
job (including short breaks and travel at work)"".  
 Examples : Bought a present / Bought plants for the garden / Bought snack food from a  
kiosk / Fuelling a motor vehicle / Inspec ting a car at a car showroom / Looked at an 
apartment for sale / Looked at clothes / Purchasing medicines / Purchasing tickets (for 
the cinema, swimming pool, etc.) / Tried on clothes in a shop / Was at a food store / Was 
at estate agents / Was at the mark et / Ordered goods by Internet / Buying air tickets by 
Internet / Buying theatre tickets by Internet  / Buying cinema tickets from home . "
3.6.2;Commercial and administrative services;" Definition : Commercial services like laundry, tailor, shoemaker, etc. Visiting post office, 
bank, bank adviser, accountant, lawyer, insurance adviser, municipality authorities, 
police station, centre for car inspection, travel agency, etc. Auto services, automatic car 
wash, repair and other auto services  
 Note : Calling or vi siting a labour office is in code ""129 Other or unspecified activities 
related to employment "". 
 Note : Phone calls to institutions etc. are included in code ""371 Household management "". 
 Note : Own work on car done in a garage or at home is included in code ""354 Vehicle 
maintenance "". Fuelling a car is included in code ""361 Shopping  (including online/ e -
shopping) "". 
 Note : Activities (calling the vet, talking to vet, etc.) in connection with Veterinary services 
for cattle (if it is on a farm) are included in code ""111 Working time in main/ second job 
(including short breaks and travel at work)""  and for pets in code ""343 Caring for pets "". 
 Examples : Car inspection at car inspection centre / Check -in to hotel / Fetched a 
package from the post office / Fetched shoes  from the shoemaker’s / Had oil change and 
car greased in a garage, as paid service / Hotel services / Paying bills at ATM /  
Withdrawing money from cash machine / Visited travel agency / Waiting at customs / 
Was at decoration service . "
3.6.9;Other or unspec ified shopping and services; Example : Waited in the car while my wife was shopping  
3.7;HOUSEHOLD MANAGEMENT;
3.7.1;Household management;" Definition : Planning and arranging, budgeting, paperwork, making a shopping list, 
arranging and supervising outside ser vices at home. Phone calls to institutions, 
correspondence with authorities.  
 Note : Visiting the bank, post office, etc. is included in code "" 363 Commercial and 
 
 
 
 
  
administrative services "". 
 Note : Management in connection with farming is included in code ""111  Working time in 
main/ second job (including short breaks and travel at work)"".  
 Note : Visiting the shop etc. is included in code "" 361 Shopping "". 
 Note : Shopping for farming goods is included in code ""111 Working time in main/ second 
job (including short b reaks and travel at work)"".  
 Examples : Attendance during repairs (supervision) / Bank services by phone or Internet / 
Called the paint shop / Checking of bookkeeping / Filling in bank giro forms / Ordered a 
pizza by phone / Planned a journey / Planned a pa rty / Planned a birthday party for my 
son / Planned food purchases, meals / Planned weekend programme for the family.  "
3.8;CHILDCARE;" Definition : Care given by parents, and older children (up to 17 years) taking care of 
younger siblings.  
 Note : The upper age limit of a ""child "" – whether in an active role (i.e. taking care of 
younger siblings or in a passive role (i.e. activities 381, 382 , 383 and 389 ) – is always 17 
years.  Sons and daughters of a family who are 18 years or older should be class ified in 
HETUS as ""other household members"".  
 Note : Childminding for another household only is included in informal help to other 
households, code "" 423 Care of own children living in another household "" or code "" 424 
Childcare as help to another household "". "
3.8.1;Physical care and supervision  of child;" Definition : Feeding, dressing, washing and preparing children for bed, etc. Supervision of 
child /ren indoors or outdoors.  It includes passive care like minding/ watching child /ren. 
 Examples : Babysitting my younger sister / Breast -fed my child / Changed nappies / 
Combed my child’s hair / Holding my child in my arms / Putting my children to bed /  
Taking care of a sick child / Waking up my child / Was at the playground with the 
children (supervision outdoors) /  Watching children (including my own) playing in the 
playground, in the garden . "
3.8.2;Teaching the child;" Definition : Help with homework, giving guidance.  
 Examples : Checked homework . "
3.8.3;Reading, playing and talking with child;" Note : Siblings talking wi th each other is included in code ""511 Socialising with family "". 
 Note : Siblings playing together is included in code ""732 Parlour games and play "". 
 Note : Looking TV with children is in code ""821 Watching TV, video or DVD "". 
 Examples : Entertained the children / Playing games with the children / Read a story to 
the children/ to my sister.  "
3.8.4;Accompanying child;" Definition : Accompanying child to a doctor. Waiting at a sports centre, music lesson, etc., 
if no other activity than waiti ng is specified. Visiting school, nursery. Parents’ meetings at 
school.  
 Note : If any other activity than waiting is specified, the actual activity should be coded. 
Time spent on travel is coded ""938 Travel related to childcare "". 
 Examples : Attending end o f term celebration at school / Parent's meeting / At school with 
my child / Attending children's party at school / Talking with a carer, teacher etc. / Visiting 
babysitter  / Watching my child’s physical training . "
3.8.9;Other or unspecified childcare;" Examples : Listened to my daughter playing the piano at home / Helped the children.  
 
 
 
 
  "
3.9;HELP TO AN ADULT HOUSEHOLD MEMBER;" Definition : Adult assistance and care (except housework).  
 Note : Help and care to an adult belonging to another household is included  in ""42 
INFORMAL HELP TO OTHER HOUSEHOLDS "". 
 Note : Housework tasks are coded according to the activity, e.g. cooking for a household 
member is included in code ""311 Food preparation  and baking "". "
3.9.1;Physical care of a n adult household member;" Definition : Feeding, washing, dressing and preparing them for bed.  It includes care of an 
adult temporary sick , but also help for a non -dependent member of the household . 
 Note : For people who suffer any physical or mental illness or any disability or problem 
impairi ng their day -to-day activities , but also for non -dependent household members . 
 Examples : Feeding my elderly mother / Changed nappies / Dressing my Alzheimer -sick 
wife / Tie shoelace for my elderly father / Combed my elderly mother’s hair / Help to go 
upsta irs / Putting my disabled husband to bed / Preparing the medicine for my sister 
(mentally disabled)  / Taking care of an adult temporarily sick . "
3.9.2;Other support to of an adult household member;" Definition : Supervision indoors and outdoors  (passive care) . Accompanying an adult at 
home to visit a doctor. Waiting at a day centre (if no other activity than waiting is 
specified). Visiting a household member in hospital or day centre. Teaching a mentally 
disabled adult or elderly people. Giving guidance. Menta l help, information and advice.  
Affective support. Other care and assistance to a dependent or non -dependent adult 
household member.  
 Note : For people who suffer any physical or mental illness or any disability or problem 
impairing their day -to-day activi ties, but also for non -dependent household members . 
 Examples : Was at the playground with the elderly adult (supervision outdoors) / Talking 
with a carer, doctor etc. / Went with my mother to the doctor / Teaching grandmother 
how to use computer/ smartphon e / Entertained my elderly father who lives with us / 
Playing games with my mentally disabled brother  / Cutting husband's or wife's hair, 
massaging / Waking up adults (husband, wife, etc.).  
 "
4;VOLUNTARY WORK AND MEETINGS;
4.1;ORGANISATIONAL WORK; Definition : Working as a volunteer free of charge or for a minor fee.  
4.1.1;Organisational work (work for or through an organisation);" Definition : Work done for or through an organisation. Work for groups and associations, 
as well as work for school and ki ndergarten and neighbourhood groups, etc. Work as a 
committee member. Administrative work. Preparing activities, work for events. Baking, 
etc. for the organisation, working in the canteen. Repairs and other odd jobs for the 
organisation. Voluntary fire bri gade. Bookkeeping for clubs. Giving information, 
distributing leaflets. Activities connected with collecting money for the organisation. 
Volunteer work.  
 Care of the elderly and disabled via an organisation. Delivering meals. Teacher or 
course instructor.  Coach, referee, etc. in sports and gymnastics. Leader of a youth 
group, e.g. scout leader. Work in a childcare group. Leading or organising self -help 
group.  
 Note : Informal help to private households is included in code ""42 INFORMAL HELP TO  
OTHER HOUSEHOL DS"" and is coded according to the actual activity.  
 Examples : Board meeting / Collected material for a board meeting / Computer work for 
the hockey club / Counted and delivered ordered clothes (for the riding club) / 
Distribution of meeting notices / Elect ion night activities / Environmental care and animal 
 
 
 
 
  
protection / Fetched/sold Bingo lottery tickets / Preparing for the council meeting / 
Recruitment of sponsors / Sorted clothes (sale for the riding club) / Sorted 
correspondence of the club / Working wit h the organisation’s newsletter / Activities as 
member of religious helping groups: hospital visiting, soup kitchen, support groups, etc.  
 Coached handball team / Coaching sports / Donating blood made through an 
organisation, e.g. red cross / Helped at the  refugee centre / Helping with organised 
activities in the baths and clearing up the bathing -place / Leading religious youth group / 
Meeting with the youth section / Road maintenance in a voluntary group  "
4.2;INFORMAL HELP TO OTHER HOUSEHOLDS;" Definition : Direct help given by the respondent to another household and not arranged 
by an organisation.  
 Note : Should be coded as secondary activity if the activity is done for the respondent’s 
own household at the same time.  "
4.2.1;Construction and repairs as help;" Definition : Help to another household with building a house, repairing a car, and other 
activities that are included in code ""35 CONSTRUCTION AND REPAIRS"" . 
 Examples : Helped repair the neighbour’s roof / Made a toy for the grandchildren.  "
4.2.2;Help in empl oyment and farming;" Definition : Unpaid help provided by the respondent to a person of another household 
with that person’s paid work, or to another household with farming activities.  
 Examples : Help with milking, tending cattle/cows/calves, helped on my un cle’s farm, 
helped my sister to clean the office . "
4.2.3;Care of own children living in another household;" Definition : Help to another household with activities that are included in ""38 
CHILDCARE"" , when the care is for one's own child up to 17 years of age living in 
another household.  
 Examples : Taking care, over the weekend, of own child usually living with ex -partner.  "
4.2.4;Childcare as help to another household;" Definition : Help to another household with activities that are included in code ""38 
CHILDCARE"" (except code ""423 own children living in another household ""). 
 Examples : Unpaid childminding / Minding  grandchildren.  "
